FILIAL; DATA PROC; IDADE INI; IDADE FIM;SETOR LOJA   ;MERC ;DIGITO;STATUS;DESCRICAO ;EMBALAGEM ;DT VENC   ;TRIBUTACAO;LC;QTDE_IDEAL;DT PRECO IND;PRECO IND;DT ULT ENTR;CUSTO ULT ENTR;QTDE ULT ENTR;QTDE PED COMPRA;QTDE PED FILIAL;QTDE PED NF AT;ESTOQ EMB1;ESTOQ EMB9;CUSTO MEDIO;PRECO VENDA;PERC RENT;QTDE VENDA EMB1;IDADE;NAO VENDE;TP ETIQ;MIX;DT PRECO;EMB.INTERMEDIARIA;PAR;DIREITO DEVOLUCAO;GESTAO ISV;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;41185;157; ;RF.QUEIJO PROVOLONE FORMOSA        ;KG  1 X 1000 1G     ;; ; ;1;     ;0;29/01/2026;36,7;10;0;0;0;14;710;36,78;58,9;12,98;3;88,08;2;X; ;12/02/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;53913;114; ;RF.CREME DE RICOTA IPANEMA         ;CXA 1 X 9 400G   ;; ; ;60;     ;0;14/04/2026;71,68;2;0;0;0;7;5;71,67;107,1;8,51;6;13,39;1;X; ;28/02/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;11611;130; ;RF.QJO MUSSARELA PARMALAT FIT FAT  ;CXA 1 X 28 130G   ;; ; ;150;     ;0;16/04/2026;221,78;1;0;0;0;2;15;214,52;316,4;7,64;1;8,63;2;C; ;23/02/2026;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;17906;193; ;RF.QUEIJO MUSSARELA ITALAC F4      ;KG  1 X 1000 1G     ;; ; ;1;     ;0;27/03/2026;29,78;494;1000;0;0;19;473;28,7;39,9;3,49;487;25;1;X; ;27/03/2026;;N;N;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;62846;137; ;RF.QUEIJO PARM.PRETO FRAC.BURTIS   ;KG  1 X 1000 1G     ;; ; ;1;     ;0;14/04/2026;57,41;6;6;0;0;9;799;57,6;88,9;10,64;8;17,04;1;X; ;04/02/2024;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;4394;156; ;RF.QUEIJO COLONIAL CEDRENSE        ;CXA 1 X 20 410G   ;; ; ;60;     ;0;30/03/2026;309,7;2;2;0;0;1;17;305,91;518,04;8,81;2;22;1;C; ;30/11/2025;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;96694;116; ;RF.QUEIJO COALHO IPANEMA           ;CXA 1 X 12 375G   ;; ; ;135;     ;0;06/04/2026;215,05;2;2;0;0;2;8;212,85;310,8;6,96;3;16,75;2;C; ;15/12/2025;S; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;3946;132; ;RF.QJO MUSS.GOIABAL FATIADO        ;CXA 1 X 24 400G   ;; ; ;50;     ;0;11/03/2026;288,86;50;60;0;0;1;20;310,06;429,6;3,27;26;41;18;C; ;29/03/2026;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;68547;111; ;RF.QJO.PROCES.SUPREMO SAB.REQUEIJAO;CXA 1 X 12 200G   ;; ; ;154;     ;0;12/03/2026;35,58;15;10;0;0;15;9;36,4;59,88;7,07;13;40,8;1;X; ;12/04/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;94268;159; ;RF.CHEDDAR POLENGHI SANDWICH-IN    ;CXA 1 X 10 288G   ;; ; ;240;     ;0;16/04/2026;160,54;3;0;0;0;3;6;160,06;225;-3,27;0;12;3;C; ;16/04/2026;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;5721;193; ;RF.QJO PARMESAO QUATA FRACIONADO   ;CXA 1 X 18 160G   ;; ; ;50;     ;0;09/04/2026;236,55;2;2;0;0;2;10;227,43;340,2;8,59;2;17,02;4;C; ;01/08/2025;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;56416;131; ;RF.QJO PRATO FAT.IPANEMA           ;CXA 1 X 18 400G   ;; ; ;70;     ;0;06/04/2026;254,88;2;5;0;0;2;5;255,75;412,2;13,4;9;18,04;1;X; ;28/02/2026;;N;N;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;56488;198; ;RF.QUEIJO PRATO FORMOSA F1         ;KG  1 X 1000 1G     ;; ; ;1;     ;0;22/12/2025;23,08;49;0;0;0;21;874;26,7;41;10,31;0;120;999;X; ;20/03/2026;;N;N;S;
